gravedad,claseSiniestro,choque,codigoLocalidad,disenoLugar,condicion,estado,edad,sexo,claseVehiculo,servicio,enfuga,codigoCausa,fechaHora
3,1,1.0,13,1,1.0,1.0,50.0,1.0,1.0,3.0,1.0,31,2019-03-21 18:50:00
3,1,1.0,6,1,1.0,1.0,29.0,1.0,8.0,2.0,1.0,13,2020-07-15 13:50:00
2,1,1.0,7,1,3.0,2.0,20.0,2.0,10.0,3.0,1.0,89,2019-12-15 22:30:00
3,1,1.0,8,8,1.0,1.0,77.0,1.0,1.0,3.0,1.0,31,2016-11-19 07:20:00
3,1,1.0,11,1,1.0,1.0,44.0,1.0,1.0,2.0,1.0,22,2018-04-20 02:10:00
3,1,1.0,10,1,1.0,1.0,37.0,1.0,1.0,2.0,1.0,31,2020-07-29 12:30:00
2,2,0.0,19,1,2.0,2.0,27.0,1.0,10.0,3.0,1.0,67,2017-03-09 14:10:00
3,1,1.0,11,2,1.0,1.0,46.0,1.0,3.0,2.0,1.0,44,2018-06-24 19:10:00
3,1,1.0,9,1,1.0,1.0,49.0,1.0,5.0,3.0,1.0,44,2019-04-30 10:38:00
3,1,1.0,19,10,2.0,1.0,33.0,1.0,10.0,3.0,1.0,55,2017-08-28 15:30:00
3,1,1.0,1,1,1.0,1.0,54.0,1.0,2.0,2.0,1.0,38,2019-02-23 00:40:00
3,1,1.0,9,10,1.0,1.0,47.0,1.0,1.0,3.0,1.0,51,2016-12-03 16:10:00
